Keyword,Currency,Avg. monthly searches,Cambio en tres meses,Cambio interanual,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024
mejores asesores financieros independientes,EUR,50,0%,0%,Media,61,"0,84","2,86",,,,,,,,,,,,,,,,,
azierta servicios financieros,EUR,500,0%,0%,Baja,2,"0,40","1,96",,,,,,,,,,,,,,,,,
servicios financieros sa,EUR,50,0%,∞,Baja,0,,,,,,,,,,,,,,,,,,,
gestoria financiera,EUR,50,0%,0%,Baja,22,"1,22","3,05",,,,,,,,,,,,,,,,,
servicios financieros abanca,EUR,50,0%,0%,Baja,5,"0,15","1,85",,,,,,,,,,,,,,,,,
financiera abanca,EUR,500,0%,0%,Baja,3,"0,21","1,03",,,,,,,,,,,,,,,,,
coval servicios financieros,EUR,50,0%,∞,Baja,0,,,,,,,,,,,,,,,,,,,
financiera alcampo,EUR,500,0%,0%,Baja,11,"0,35","1,14",,,,,,,,,,,,,,,,,
direccion financiera externa,EUR,50,0%,0%,Baja,5,"2,00","22,82",,,,,,,,,,,,,,,,,
fondos financieros,EUR,50,0%,0%,Baja,8,"0,48","2,09",,,,,,,,,,,,,,,,,
gestion bancaria y de entidades financieras,EUR,50,0%,∞,Baja,0,,,,,,,,,,,,,,,,,,,
consultoria financiera empresarial,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
asesor fiscal y financiero,EUR,50,0%,0%,Media,43,"0,94","3,36",,,,,,,,,,,,,,,,,
consultor financiero independiente,EUR,50,0%,0%,Baja,31,"0,76","2,76",,,,,,,,,,,,,,,,,
asesoramiento de inversiones,EUR,50,0%,0%,Media,38,"1,29","3,77",,,,,,,,,,,,,,,,,
asesor financiero santander,EUR,50,0%,0%,Baja,3,,,,,,,,,,,,,,,,,,,
servicios financieros empresas,EUR,50,0%,0%,Baja,12,"1,27","2,58",,,,,,,,,,,,,,,,,
auditoria contable y financiera,EUR,50,-100%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
banco servicios financieros,EUR,50,0%,0%,Baja,10,,,,,,,,,,,,,,,,,,,
oportunidad financiera,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
los mercados financieros,EUR,50,0%,0%,Baja,15,,,,,,,,,,,,,,,,,,,
control financiero personal,EUR,50,0%,0%,Media,59,,,,,,,,,,,,,,,,,,,
financiera credi,EUR,50,0%,0%,Media,45,"0,40","1,07",,,,,,,,,,,,,,,,,
los mejores asesores financieros,EUR,50,0%,0%,Media,43,,,,,,,,,,,,,,,,,,,
pastor servicios financieros,EUR,50,0%,0%,Baja,4,"0,60","2,89",,,,,,,,,,,,,,,,,
gestion financiera de proyectos,EUR,50,0%,0%,Baja,24,,,,,,,,,,,,,,,,,,,
asesor bursatil,EUR,50,0%,0%,Media,41,"0,89","2,35",,,,,,,,,,,,,,,,,
10 instituciones financieras,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
5 instituciones financieras,EUR,50,-100%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
abanca serfin clientes,EUR,500,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
abanca serfin telefono,EUR,500,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
abanca servicios financieros acceso clientes,EUR,500,0%,900%,Baja,0,,,,,,,,,,,,,,,,,,,
abanca servicios financieros efc sa,EUR,50,0%,0%,Baja,5,,,,,,,,,,,,,,,,,,,
abanca servicios financieros telefono,EUR,500,900%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
abcserviciosfinancieros,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
abcvisa financiero,EUR,0,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
abcvisa servicios financieros,EUR,0,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
acceso financiero,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
administracion financiero,EUR,50,-100%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
administración bancaria y financiera que es,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
administrativo financiero,EUR,50,900%,900%,Baja,0,,,,,,,,,,,,,,,,,,,
afi analistas financieros,EUR,50,0%,0%,Baja,7,"0,77","5,06",,,,,,,,,,,,,,,,,
afix servicios financieros,EUR,50,0%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
ahorros financieros,EUR,50,0%,0%,Baja,17,"1,59","4,90",,,,,,,,,,,,,,,,,
alcampo oney telefono,EUR,500,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
aliados financieros,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
analisis financiero de un banco,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
análisis financiero que es,EUR,50,0%,0%,Baja,4,"0,12","1,50",,,,,,,,,,,,,,,,,
análisis financiero y de gestión,EUR,50,∞,0%,Media,43,,,,,,,,,,,,,,,,,,,
apple estados financieros,EUR,50,-100%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
asesor de servicios bancarios,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
asesor de servicios financieros,EUR,50,0%,0%,Baja,20,,,,,,,,,,,,,,,,,,,
asesor financiero bcp,EUR,50,∞,0%,Media,57,,,,,,,,,,,,,,,,,,,
asesoramiento financiero que es,EUR,50,0%,0%,Baja,3,"0,41","1,05",,,,,,,,,,,,,,,,,
asesores juridicos y financieros,EUR,50,0%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
asesores y gestores financieros sa,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
asesoria financiera que es,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
auditoria a estados financieros,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
auditoria a los estados financieros,EUR,50,∞,0%,Baja,0,,,,,,,,,,,,,,,,,,,
auditoria administrativa y financiera,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
auditoria de los estados financieros,EUR,50,∞,0%,Baja,0,,,,,,,,,,,,,,,,,,,
auditoria financiera externa,EUR,50,∞,0%,Baja,0,,,,,,,,,,,,,,,,,,,
auditoria financiera que es,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
auditoria no financiera,EUR,50,0%,0%,Baja,5,,,,,,,,,,,,,,,,,,,
auxiliar bancario administrativo y financiero,EUR,50,0%,∞,Baja,0,,,,,,,,,,,,,,,,,,,
auxiliar financiero,EUR,50,0%,0%,Baja,3,,,,,,,,,,,,,,,,,,,
bancaria y financiera,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
banco de servicios financieros carrefour,EUR,50,-100%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
banco de servicios financieros carrefour telefono,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
banco de servicios financieros telefono,EUR,0,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
banco de venezuela servicios financieros,EUR,,--,--,Desconocida,,,,,,,,,,,,,,,,,,,,
banco financiero carrefour,EUR,50,0%,0%,Baja,4,,,,,,,,,,,,,,,,,,,
banco financiero de carrefour,EUR,50,0%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
banco financiero y de ahorros,EUR,50,0%,0%,Baja,4,,,,,,,,,,,,,,,,,,,
banco servicios financieros carrefour,EUR,50,0%,∞,Baja,4,,,,,,,,,,,,,,,,,,,
bancodeserviciosfinancieros com ar carrefour,EUR,50,0%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
bansefi servicios,EUR,,--,--,Desconocida,,,,,,,,,,,,,,,,,,,,
bbva servicios financieros,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
campo de tejada servicios financieros,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
campo financiero,EUR,50,0%,∞,Baja,0,,,,,,,,,,,,,,,,,,,
campus financiero,EUR,500,0%,900%,Baja,0,,,,,,,,,,,,,,,,,,,
carnet joven financiero,EUR,50,0%,0%,Baja,1,,,,,,,,,,,,,,,,,,,
carrefour banco de servicios financieros,EUR,50,-100%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
carrefour banco financiero,EUR,50,∞,0%,Baja,0,,,,,,,,,,,,,,,,,,,
citibanamex estados financieros,EUR,0,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
clientes financieros,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
cmf estados financieros,EUR,50,0%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
comercio y economía,EUR,50,-100%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
conecta financiera,EUR,50,0%,0%,Baja,7,,,,,,,,,,,,,,,,,,,
consede servicios financieros,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
consorcio financiero,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
consorcio financiero sa,EUR,50,0%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
consultor financiero ovb,EUR,50,-90%,0%,Baja,4,"1,08","2,01",,,,,,,,,,,,,,,,,
consultoria administrativa y financiera,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
consultoria financiera que es,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
consultoria sector cuaternario,EUR,50,-100%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
contabilidad de instituciones financieras,EUR,50,-100%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
contabilidad financiera externa,EUR,50,∞,0%,Baja,0,,,,,,,,,,,,,,,,,,,
contabilidad financiera y tributaria,EUR,50,∞,0%,Alta,100,,,,,,,,,,,,,,,,,,,
contabilidad financieras,EUR,50,0%,0%,Baja,4,"0,81","3,50",,,,,,,,,,,,,,,,,
contable financiero,EUR,50,0%,0%,Baja,4,"0,81","3,50",,,,,,,,,,,,,,,,,
contadores tributarios y financieros,EUR,50,-100%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
contempora servicios financieros,EUR,0,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
control de gestion financiera,EUR,50,0%,0%,Baja,21,,,,,,,,,,,,,,,,,,,
control financiero que es,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
coste financiero,EUR,500,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
costos de financieros,EUR,0,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
cyc consejería en servicios financieros,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
descuentos financieros,EUR,50,900%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
direccion financiera que es,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
economia agricultura,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
economia agroexportadora,EUR,50,0%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
economia agropecuaria pdf,EUR,50,∞,∞,Baja,0,,,,,,,,,,,,,,,,,,,
economia de agricultura,EUR,50,0%,∞,Baja,0,,,,,,,,,,,,,,,,,,,
economia de la agricultura,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
economia en la agricultura,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
economia formal e informal,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
economia informal,EUR,500,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
economia primaria secundaria y terciaria,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
economia sector terciario,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
economia terciaria,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
economía agraria ejemplos,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
economía agrícola pdf,EUR,50,-100%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
economía del sector público stiglitz 4ta edición pdf gratis,EUR,50,0%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
economía informal,EUR,500,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
economía informal ejemplos,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
el control financiero,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
el financiero creditos,EUR,50,-100%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
el pais financiero,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
elektra estados financieros,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
emisores financieros,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
enlace servicios financieros,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
entidades bancarias y financieras,EUR,50,0%,0%,Baja,6,,,,,,,,,,,,,,,,,,,
entidades de servicios financieros,EUR,50,0%,∞,Baja,0,,,,,,,,,,,,,,,,,,,
entidades financieras que son,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
entidades no financieras,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
establecimiento de crédito,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
establecimiento financiero,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
establecimiento financiero de crédito,EUR,500,0%,0%,Baja,3,,,,,,,,,,,,,,,,,,,
estados financieros apple,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
estados financieros bcp,EUR,0,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
estados financieros cmf,EUR,50,-100%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
estados financieros comerciales,EUR,50,∞,∞,Baja,0,,,,,,,,,,,,,,,,,,,
estados financieros complementarios,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
estados financieros de apple,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
estados financieros de coppel,EUR,0,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
estados financieros de elektra,EUR,0,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
estados financieros de google,EUR,50,0%,∞,Baja,0,,,,,,,,,,,,,,,,,,,
estados financieros de un banco,EUR,50,-100%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
estados financieros de una empresa de servicios,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
estados financieros integrales,EUR,50,0%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
estados financieros mensuales,EUR,50,-100%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
estados financieros rappi,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
estados financieros santander,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
estados financieros sunat,EUR,50,0%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
fin brock servicios financieros,EUR,50,-100%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
financiamiento financiero,EUR,50,∞,∞,Baja,23,"0,58","1,33",,,,,,,,,,,,,,,,,
financiera al fin,EUR,50,∞,∞,Baja,0,,,,,,,,,,,,,,,,,,,
financiera bancaria,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
financiera bancomer,EUR,0,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
financiera compartir sa,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
financiera contactar,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
financiera de bbva,EUR,50,0%,0%,Baja,2,,,,,,,,,,,,,,,,,,,
financiera de caixabank,EUR,50,0%,0%,Baja,3,,,,,,,,,,,,,,,,,,,
financiera el comercio préstamos,EUR,0,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
financiera el comercio sucursales,EUR,50,0%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
financiera el comercio telefono,EUR,50,0%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
financiera el comercio web,EUR,0,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
financiera el comercio whatsapp,EUR,50,∞,∞,Baja,0,,,,,,,,,,,,,,,,,,,
financiera finsol sucursales,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
financiera integral,EUR,0,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
financiera máximo telefono,EUR,0,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
financiera nova,EUR,0,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
financiera oney alcampo,EUR,50,0%,0%,Baja,4,,,,,,,,,,,,,,,,,,,
financiera oney leroy merlin,EUR,50,0%,0%,Baja,1,,,,,,,,,,,,,,,,,,,
financiera sa,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
financiera sura,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
financieras colombianas,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
financieras en santa ana,EUR,,--,--,Desconocida,,,,,,,,,,,,,,,,,,,,
financieras no bancarias,EUR,50,∞,0%,Baja,25,,,,,,,,,,,,,,,,,,,
financiero banco,EUR,500,0%,0%,Baja,19,"0,65","3,33",,,,,,,,,,,,,,,,,
financiero en contabilidad,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
financieros que es,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
fortuna servicios financieros,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
fortuna servicios financieros premium,EUR,500,0%,900%,Baja,0,,,,,,,,,,,,,,,,,,,
gestion de estados financieros,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
gestion financiera personal,EUR,50,0%,0%,Alta,68,,,,,,,,,,,,,,,,,,,
gestion financiera que es,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
gestion financiera y auditoria,EUR,50,0%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
gestion financiero,EUR,50,0%,0%,Baja,13,,,,,,,,,,,,,,,,,,,
gestión contable y financiera que es,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
gestión de activos financieros,EUR,50,0%,0%,Baja,16,"0,75","2,39",,,,,,,,,,,,,,,,,
gmac financiera pago pse,EUR,50,0%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
grupo financiero bancomer,EUR,50,-100%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
grupo financiero bbva méxico,EUR,50,∞,∞,Baja,0,,,,,,,,,,,,,,,,,,,
grupo financiero gst,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
grupo financiero principal,EUR,50,0%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
grupo financiero que es,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
grupo financiero sofom,EUR,0,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
ibercaja financiero,EUR,500,0%,0%,Baja,7,"0,08","0,70",,,,,,,,,,,,,,,,,
id financiera,EUR,50,0%,0%,Baja,21,,,,,,,,,,,,,,,,,,,
instituciones de servicios financieros,EUR,50,0%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
instituciones financiera,EUR,500,0%,0%,Baja,2,"0,38","1,12",,,,,,,,,,,,,,,,,
instituciones financieras bancarias y no bancarias,EUR,50,0%,0%,Baja,4,,,,,,,,,,,,,,,,,,,
instituciones financieras de inversión y financiamiento,EUR,50,-100%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
instituciones no financieras,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
intermediarios bancarios y no bancarios,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
intermediarios financieros bancarios,EUR,500,0%,900%,Baja,2,,,,,,,,,,,,,,,,,,,
intermediarios financieros bancarios y no bancarios,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
invercapital servicios financieros,EUR,50,0%,∞,Baja,14,,,,,,,,,,,,,,,,,,,
inversiones financieras que cuenta es,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
inversiones no financieras,EUR,50,0%,0%,Baja,9,,,,,,,,,,,,,,,,,,,
la auditoria financiera,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
la auditoria financiera es,EUR,0,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
la economia agricola,EUR,50,-100%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
la economia agroexportadora,EUR,50,0%,0%,Desconocida,,,,,,,,,,,,,,,,,,,,
la economia primaria,EUR,50,0%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
la economía agropecuaria,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
la economía informal,EUR,50,∞,0%,Baja,0,,,,,,,,,,,,,,,,,,,
las entidades financieras,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
las instituciones financieras,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
latam estados financieros,EUR,50,∞,0%,Baja,0,,,,,,,,,,,,,,,,,,,
leasing financiero bbva,EUR,50,0%,0%,Baja,0,,,,,,,,,,,,,,,,,,,
liderbciserviciosfinancieros,EUR,0,0%,-100%,Desconocida,,,,,,,,,,,,,,,,,,,,
